,haplotype,motif_type,class,fraction
236,HG02666_hap2,Z,Methylated,0.5711366103932046
237,HG02666_hap2,Z,Unmethylated,0.4288633896067954
238,HG02666_hap2,G4,Methylated,0.5829069367112651
239,HG02666_hap2,G4,Unmethylated,0.4170930632887348
240,HG03807_hap2,IR,Methylated,0.5909372565786006
241,HG03807_hap2,IR,Unmethylated,0.4090627434213994
242,HG03807_hap2,MR,Methylated,0.5799836704710994
243,HG03807_hap2,MR,Unmethylated,0.42001632952890056
244,HG03807_hap2,DR,Methylated,0.5933326542623025
245,HG03807_hap2,DR,Unmethylated,0.40666734573769747
246,HG03807_hap2,APR,Methylated,0.5934631279944409
247,HG03807_hap2,APR,Unmethylated,0.40653687200555916
248,HG03807_hap2,Z,Methylated,0.6029258933567831
249,HG03807_hap2,Z,Unmethylated,0.3970741066432169
250,HG03807_hap2,G4,Methylated,0.61144168650119
251,HG03807_hap2,G4,Unmethylated,0.3885583134988099
252,HG03065_hap2,IR,Methylated,0.3499952709732337
253,HG03065_hap2,IR,Unmethylated,0.6500047290267663
254,HG03065_hap2,MR,Methylated,0.3330947648098356
255,HG03065_hap2,MR,Unmethylated,0.6669052351901644
256,HG03065_hap2,DR,Methylated,0.3431590096807025
257,HG03065_hap2,DR,Unmethylated,0.6568409903192975
258,HG03065_hap2,APR,Methylated,0.34841797326079704
259,HG03065_hap2,APR,Unmethylated,0.651582026739203
260,HG03065_hap2,Z,Methylated,0.3694488672332099
261,HG03065_hap2,Z,Unmethylated,0.6305511327667901
262,HG03065_hap2,G4,Methylated,0.3838725911635807
263,HG03065_hap2,G4,Unmethylated,0.6161274088364193
264,NA19705_hap2,IR,Methylated,0.5411528514484427
265,NA19705_hap2,IR,Unmethylated,0.4588471485515573
266,NA19705_hap2,MR,Methylated,0.5255770136599152
267,NA19705_hap2,MR,Unmethylated,0.4744229863400848
268,NA19705_hap2,DR,Methylated,0.5337194844015021
269,NA19705_hap2,DR,Unmethylated,0.466280515598498
270,NA19705_hap2,APR,Methylated,0.5375903143917203
